Chapter;Kana;Kanji;Furigana;Romaji;Trad;Sample kanji;Sample kana;Sample trad;Type;Subgroup;Group;JLPT;Sound kana;Sound sample;Tags
1;〜さん;〜さん;〜 さん;〜san;Mme. M. (titre de respect ajouté à un nom);;;;(Affixe) 接辞[せつじ];(Suffixe) 接尾辞[せつびじ];Other;5;[sound:hypertts-5064094817d6ea5c3f803ab0dae1c82e4fc72ba74ecd1e3cfd47ec65.mp3];;Affixes Chapitre_01 N5
1;〜ちゃん;〜ちゃん;〜 ちゃん;〜chan;"(suffixe souvent ajouté au nom d&#x27;un enfant)";;;;(Affixe) 接辞[せつじ];(Suffixe) 接尾辞[せつびじ];Other;5;[sound:hypertts-fdca71e53c862dc9901ccbdd0416ad091dd9b18cd9bd5d27fa5e64e4.mp3];;Affixes Chapitre_01 N5
1;〜くん;〜君;〜 君[くん];〜kun;"(suffixe souvent ajouté au nom d&#x27;un petit garçon)";;;;(Affixe) 接辞[せつじ];(Suffixe) 接尾辞[せつびじ];Other;5;[sound:hypertts-ab553f4ef46b2594f9adb57514f67f2e2a5d3a6c463a6fdddd43f4e8.mp3];;Affixes Chapitre_01 N5
1;～からきました;～から来ました;〜 から 来[き]ました;～karakimashita;Je viens (Je suis venu) de ～.;;;;(Affixe) 接辞[せつじ];(Suffixe) 接尾辞[せつびじ];Other;5;[sound:hypertts-b2d774fed01fc2ab822bd0bfc034dd96a635937e68541e2c2c3717bf.mp3];;Affixes Chapitre_01 N5
1;～じん;～人;〜 人[じん];～jin;"(suffixe qui signifie &quot;de nationalité&quot;)";;;;(Affixe) 接辞[せつじ];(Suffixe) 接尾辞[せつびじ];Other;4;[sound:hypertts-2c444371339c5b7b04e0622857fa29289a1cafe8288f8d02f4488752.mp3];;Affixes Chapitre_01 N4
1;～さい;～歳;〜 歳[さい];～sai;"～ans (pour l&#x27;âge)";;;;(Affixe) 接辞[せつじ];(Suffixe) 接尾辞[せつびじ];Other;1;[sound:hypertts-78f0adeda762893cea23dea9457e53f646ae3c9f7a975afa0d39b756.mp3];;Affixes Chapitre_01 N1
1;～しゃいん;～社員;〜 社員[しゃいん];～shain;employer de ～compagnie (à utiliser avec le nom de la compagnie);;;;(Affixe) 接辞[せつじ];(Préfixe) 接頭辞[せっとうじ];Other;2;[sound:hypertts-a9d2b7b289b9d1e5c4f75b1c8e09379b941434b74878e06cc7738df6.mp3];;Affixes Chapitre_01 N2
1;あのひと;あの人;あの 人[ひと];anohito;cette personne, lui, elle;;;;(Nom) 普通名詞[ふつうめいし];Personne;Commun;X;[sound:hypertts-c2550b8a3a8a758c5e194931525eba5dc9e2357d205bfe80f0fb052e.mp3];;Chapitre_01 Noms NX
1;あのかた;あの方;あの 方[かた];anokata;cette personne, lui, elle (plus polie);あの 方[かた]たちに 大変[たいへん]うれしいです;あの かたたちに たいへんうれしいです;Je suis très heureux de les rencontrer.;(Nom) 普通名詞[ふつうめいし];Personne;Commun;X;[sound:hypertts-c0cf6f34839e5463971162b0ac7462c09a379f8d94468653cbc07755.mp3];[sound:hypertts-06948e381fd5727b4c7cd9df0f2174307819d8530448d51e2453515a.mp3];Chapitre_01 Noms NX
1;イギリス;イギリス;イギリス;igirisu;Royaume-Uni;;;;(Nom) 普通名詞[ふつうめいし];Pays, ville, langues;Commun;X;[sound:hypertts-d980238952097b5d674b428322235c7c673f7dde9f07517f6c3eff70.mp3];;Chapitre_01 Noms NX
